gene,region,n_f,n_m,mean_md,ci_lo,ci_hi,ci_width,bimod,skewness,crosses_zero
SST,Hippocampus,54,143,-0.7607040094313154,-1.439627120434444,-0.14815355972371,1.291473560710734,0.350076452367916,-0.09627223632076791,0
SST,Ant. Cing. Ctx,48,128,0.01771316545217276,-0.5484938837693069,0.5705560456891559,1.1190499294584626,0.34292170793515914,-0.1007653460922435,1
SST,Frontal Cortex,56,153,-0.3597935352085711,-0.8716548593131881,0.14429195801248304,1.0159468173256712,0.3277563928920219,-0.06519851237849754,1
SST,Cortex,74,181,-0.5186883593425698,-0.9361684735545397,-0.11535667336104487,0.8208118001934949,0.33418556210830386,-0.04347102016459842,0
SST,Caudate,63,183,-0.23658663519249212,-0.7528677600239223,0.26092336017552836,1.0137911201994507,0.335638213635079,-0.06939384046070374,1
SST,Putamen,49,156,-0.3446097710228687,-1.0180429642184785,0.3055237606287927,1.3235667248472711,0.3420542776256707,-0.11305497211386652,1
SST,Nucleus Accumbens,64,182,-0.2541726426922757,-0.7642717087701206,0.22027092025083433,0.9845426290209549,0.3405910262451908,-0.15648353395523626,1
SST,Cerebellum,67,174,0.02748356665264845,-0.05053181255414481,0.1022454647078838,0.1527772772620286,0.33447623334092896,-0.031743508271887794,1
SST,Cerebellar Hemi.,58,157,0.06967089427701388,-0.1281738547537031,0.32243076525976405,0.4506046200134671,0.35411633601962245,0.5201791494279213,1
SST,Substantia Nigra,38,101,-0.3799018248896461,-1.0524015021589856,0.293066713049766,1.3454682152087516,0.3440135442358364,0.0572134857931714,1
SST,Spinal Cord,57,102,0.289930796226563,-0.633889054192185,1.2065470250337695,1.8404360792259546,0.3339271394435587,0.08944189341989738,1
